Episode: 84 | Reward: -10.33 | Epsilon: 0.9915 | Reason: collision
Episode: 85 | Reward: -11.91 | Epsilon: 0.9914 | Reason: collision
Episode: 86 | Reward: 30.72 | Epsilon: 0.9913 | Reason: goal
Episode: 87 | Reward: -10.15 | Epsilon: 0.9912 | Reason: collision
Episode: 88 | Reward: -14.65 | Epsilon: 0.9911 | Reason: collision
Episode: 89 | Reward: -7.53 | Epsilon: 0.9910 | Reason: collision
Episode: 90 | Reward: -9.26 | Epsilon: 0.9909 | Reason: collision
Episode: 91 | Reward: -13.17 | Epsilon: 0.9908 | Reason: collision
Episode: 92 | Reward: -11.86 | Epsilon: 0.9907 | Reason: collision
Episode: 93 | Reward: -12.27 | Epsilon: 0.9906 | Reason: collision
Episode: 94 | Reward: -11.40 | Epsilon: 0.9905 | Reason: collision
Episode: 95 | Reward: -12.63 | Epsilon: 0.9904 | Reason: collision
Episode: 96 | Reward: -14.88 | Epsilon: 0.9903 | Reason: collision
Episode: 97 | Reward: -12.19 | Epsilon: 0.9902 | Reason: collision
Episode: 98 | Reward: -8.76 | Epsilon: 0.9901 | Reason: collision
Episode: 99 | Reward: -14.20 | Epsilon: 0.9900 | Reason: collision
Episode: 100 | Reward: -14.13 | Epsilon: 0.9900 | Reason: collision
Episode: 101 | Reward: -10.77 | Epsilon: 0.9899 | Reason: collision
Episode: 102 | Reward: -11.46 | Epsilon: 0.9898 | Reason: collision
Episode: 103 | Reward: -9.42 | Epsilon: 0.9897 | Reason: collision
Episode: 104 | Reward: -11.17 | Epsilon: 0.9896 | Reason: collision
Episode: 105 | Reward: -12.01 | Epsilon: 0.9895 | Reason: collision
Episode: 106 | Reward: -11.46 | Epsilon: 0.9894 | Reason: collision
Episode: 107 | Reward: -11.85 | Epsilon: 0.9893 | Reason: collision
Episode: 108 | Reward: -12.37 | Epsilon: 0.9892 | Reason: collision
Episode: 109 | Reward: -17.90 | Epsilon: 0.9891 | Reason: collision
Episode: 110 | Reward: -11.54 | Epsilon: 0.9890 | Reason: collision
Episode: 111 | Reward: -12.27 | Epsilon: 0.9889 | Reason: collision
Episode: 112 | Reward: 30.81 | Epsilon: 0.9888 | Reason: goal
Episode: 113 | Reward: -13.00 | Epsilon: 0.9887 | Reason: collision
Episode: 114 | Reward: -11.64 | Epsilon: 0.9886 | Reason: collision
Episode: 115 | Reward: -17.28 | Epsilon: 0.9885 | Reason: collision
Episode: 116 | Reward: -10.11 | Epsilon: 0.9884 | Reason: collision
Episode: 117 | Reward: -8.78 | Epsilon: 0.9883 | Reason: collision
Episode: 118 | Reward: -11.52 | Epsilon: 0.9882 | Reason: collision
Episode: 119 | Reward: -14.53 | Epsilon: 0.9881 | Reason: collision
Episode: 120 | Reward: -16.55 | Epsilon: 0.9880 | Reason: collision
Episode: 121 | Reward: -12.18 | Epsilon: 0.9879 | Reason: collision
Episode: 122 | Reward: -12.08 | Epsilon: 0.9878 | Reason: collision
Episode: 123 | Reward: -8.71 | Epsilon: 0.9877 | Reason: collision
Episode: 124 | Reward: -14.49 | Epsilon: 0.9876 | Reason: collision
Episode: 125 | Reward: -12.38 | Epsilon: 0.9875 | Reason: collision
Episode: 126 | Reward: -8.19 | Epsilon: 0.9874 | Reason: collision
Episode: 127 | Reward: -14.20 | Epsilon: 0.9873 | Reason: collision
Episode: 128 | Reward: -10.22 | Epsilon: 0.9872 | Reason: collision
Episode: 129 | Reward: -13.72 | Epsilon: 0.9871 | Reason: collision
Episode: 130 | Reward: -9.70 | Epsilon: 0.9870 | Reason: collision
Episode: 131 | Reward: -10.44 | Epsilon: 0.9869 | Reason: collision
Episode: 132 | Reward: -11.98 | Epsilon: 0.9868 | Reason: collision
Episode: 133 | Reward: -14.14 | Epsilon: 0.9867 | Reason: collision
Episode: 134 | Reward: -11.53 | Epsilon: 0.9866 | Reason: collision
Episode: 135 | Reward: -12.81 | Epsilon: 0.9865 | Reason: collision
Episode: 136 | Reward: -11.07 | Epsilon: 0.9864 | Reason: collision
Episode: 137 | Reward: -12.85 | Epsilon: 0.9863 | Reason: collision
Episode: 138 | Reward: -13.41 | Epsilon: 0.9862 | Reason: collision
Episode: 139 | Reward: -15.23 | Epsilon: 0.9861 | Reason: collision
Episode: 140 | Reward: -12.27 | Epsilon: 0.9860 | Reason: collision
Episode: 141 | Reward: -5.09 | Epsilon: 0.9859 | Reason: collision
Episode: 142 | Reward: -11.51 | Epsilon: 0.9858 | Reason: collision
Episode: 143 | Reward: -10.26 | Epsilon: 0.9857 | Reason: collision
Episode: 144 | Reward: -13.56 | Epsilon: 0.9856 | Reason: collision
Episode: 145 | Reward: -10.31 | Epsilon: 0.9855 | Reason: collision
Episode: 146 | Reward: -15.01 | Epsilon: 0.9854 | Reason: collision
Episode: 147 | Reward: -11.46 | Epsilon: 0.9853 | Reason: collision
Episode: 148 | Reward: -11.51 | Epsilon: 0.9852 | Reason: collision
Episode: 149 | Reward: -12.50 | Epsilon: 0.9851 | Reason: collision
Episode: 150 | Reward: 30.53 | Epsilon: 0.9850 | Reason: goal
Episode: 151 | Reward: -12.16 | Epsilon: 0.9849 | Reason: collision
Episode: 152 | Reward: -13.26 | Epsilon: 0.9848 | Reason: collision
Episode: 153 | Reward: -13.59 | Epsilon: 0.9847 | Reason: collision
Episode: 154 | Reward: -11.70 | Epsilon: 0.9846 | Reason: collision
Episode: 155 | Reward: -6.78 | Epsilon: 0.9845 | Reason: collision
Episode: 156 | Reward: -11.28 | Epsilon: 0.9844 | Reason: collision
Episode: 157 | Reward: -10.64 | Epsilon: 0.9843 | Reason: collision
Episode: 158 | Reward: -10.37 | Epsilon: 0.9842 | Reason: collision
Episode: 159 | Reward: -9.68 | Epsilon: 0.9841 | Reason: collision
Episode: 160 | Reward: -10.63 | Epsilon: 0.9840 | Reason: collision
